GeneID	Clid	Samples	TimePoint	Value	Type
SPBC9B6.10_285	1	285	D14	2.514415	ODEP
SPBC26H8.13c_285	1	285	D2	1.536743	ODEP
SPBC26H8.13c_285	1	285	D5	1.441877	ODEP
SPBC26H8.13c_285	1	285	D14	1.774582	ODEP
SPCC1020.06c_285	1	285	D2	4.742400	ODEP
SPCC1020.06c_285	1	285	D5	2.217113	ODEP
SPCC1020.06c_285	1	285	D14	3.775865	ODEP
SPCC794.03_285	1	285	D2	2.657993	ODEP
SPCC794.03_285	1	285	D5	3.010363	ODEP
SPCC794.03_285	1	285	D14	1.864126	ODEP
YGL194C_285	1	285	D2	53.435500	ODEP
YGL194C_285	1	285	D5	138.546667	ODEP
YGL194C_285	1	285	D14	107.669050	ODEP
SPAC13C5.05c_285	1	285	D2	4.005221	ODEP
SPAC13C5.05c_285	1	285	D5	3.027208	ODEP
SPAC13C5.05c_285	1	285	D14	3.252935	ODEP
SPAC1142.03c_BM45	1	BM45	D2	4.043233	ODEP
SPAC1142.03c_BM45	1	BM45	D5	4.501100	ODEP
SPAC1142.03c_BM45	1	BM45	D14	2.839149	ODEP
SPAC12B10.13_BM45	1	BM45	D2	2.859976	ODEP
SPAC12B10.13_BM45	1	BM45	D5	2.470495	ODEP
SPAC12B10.13_BM45	1	BM45	D14	2.221233	ODEP
SPAC15F9.01c_BM45	1	BM45	D2	4.616648	ODEP
SPAC15F9.01c_BM45	1	BM45	D5	1.554849	ODEP
SPAC15F9.01c_BM45	1	BM45	D14	1.733100	ODEP
SPAC1851.02_BM45	1	BM45	D2	4.658040	ODEP
SPAC1851.02_BM45	1	BM45	D5	2.732717	ODEP
SPAC1851.02_BM45	1	BM45	D14	4.292325	ODEP
SPAC19A8.03_BM45	1	BM45	D2	9.516453	ODEP
SPAC19A8.03_BM45	1	BM45	D5	5.445124	ODEP
SPAC19A8.03_BM45	1	BM45	D14	1.843034	ODEP
SPAC20G8.09c_BM45	1	BM45	D2	2.516821	ODEP
SPAC20G8.09c_BM45	1	BM45	D5	1.451865	ODEP
SPAC20G8.09c_BM45	1	BM45	D14	1.510794	ODEP
SPAC222.09_BM45	1	BM45	D2	8.229997	ODEP
SPAC222.09_BM45	1	BM45	D5	5.625410	ODEP
SPAC222.09_BM45	1	BM45	D14	1.810509	ODEP
SPAC227.05_BM45	1	BM45	D2	3.192852	ODEP
SPAC227.05_BM45	1	BM45	D5	3.400384	ODEP
SPAC227.05_BM45	1	BM45	D14	1.693732	ODEP
SPAC22E12.03c_BM45	1	BM45	D2	3.152949	ODEP
SPAC22E12.03c_BM45	1	BM45	D5	4.797110	ODEP
SPAC22E12.03c_BM45	1	BM45	D14	2.235832	ODEP
SPAC22F8.10c_BM45	1	BM45	D2	4.780808	ODEP
SPAC22F8.10c_BM45	1	BM45	D5	2.371098	ODEP
SPAC22F8.10c_BM45	1	BM45	D14	1.608363	ODEP
SPAC22G7.11c_BM45	1	BM45	D2	3.706465	ODEP
SPAC22G7.11c_BM45	1	BM45	D5	2.020776	ODEP
SPAC22G7.11c_BM45	1	BM45	D14	1.857750	ODEP
