GeneID	Clid	Samples	TimePoint	Value	Type
YLR367W_285	12	285	D14	0.085761	SEP
YLR372W_285	12	285	D2	0.487095	SEP
YLR372W_285	12	285	D5	0.056081	SEP
YLR372W_285	12	285	D14	0.012203	SEP
YLR388W_285	12	285	D2	0.427493	SEP
YLR388W_285	12	285	D5	0.080351	SEP
YLR388W_285	12	285	D14	0.035059	SEP
YLR406C_285	12	285	D2	0.442945	SEP
YLR406C_285	12	285	D5	0.062439	SEP
YLR406C_285	12	285	D14	0.028536	SEP
YLR432W_285	12	285	D2	0.309247	SEP
YLR432W_285	12	285	D5	0.038507	SEP
YLR432W_285	12	285	D14	0.018172	SEP
YLR441C_285	12	285	D2	0.466314	SEP
YLR441C_285	12	285	D5	0.081589	SEP
YLR441C_285	12	285	D14	0.021262	SEP
YLR448W_285	12	285	D2	0.461006	SEP
YLR448W_285	12	285	D5	0.080860	SEP
YLR448W_285	12	285	D14	0.015106	SEP
YML019W_285	12	285	D2	0.594974	SEP
YML019W_285	12	285	D5	0.081465	SEP
YML019W_285	12	285	D14	0.034894	SEP
YML056C_285	12	285	D2	0.500054	SEP
YML056C_285	12	285	D5	0.061649	SEP
YML056C_285	12	285	D14	0.025391	SEP
YML063W_285	12	285	D2	0.454896	SEP
YML063W_285	12	285	D5	0.117542	SEP
YML063W_285	12	285	D14	0.015786	SEP
YML106W_285	12	285	D2	0.434774	SEP
YML106W_285	12	285	D5	0.144879	SEP
YML106W_285	12	285	D14	0.029787	SEP
YMR030W-A_285	12	285	D2	0.261568	SEP
YMR030W-A_285	12	285	D5	0.019405	SEP
YMR030W-A_285	12	285	D14	0.024637	SEP
YMR032W_285	12	285	D2	0.338808	SEP
YMR032W_285	12	285	D5	0.057639	SEP
YMR032W_285	12	285	D14	0.066475	SEP
YMR143W_285	12	285	D2	0.447818	SEP
YMR143W_285	12	285	D5	0.101624	SEP
YMR143W_285	12	285	D14	0.033792	SEP
YMR199W_285	12	285	D2	0.392209	SEP
YMR199W_285	12	285	D5	0.127230	SEP
YMR199W_285	12	285	D14	0.017308	SEP
YMR217W_285	12	285	D2	0.478366	SEP
YMR217W_285	12	285	D5	0.129074	SEP
YMR217W_285	12	285	D14	0.053390	SEP
YMR230W_285	12	285	D2	0.475880	SEP
YMR230W_285	12	285	D5	0.092110	SEP
YMR230W_285	12	285	D14	0.065801	SEP
YMR241W_285	12	285	D2	0.423308	SEP
YMR241W_285	12	285	D5	0.079185	SEP
YMR241W_285	12	285	D14	0.022181	SEP
YMR290C_285	12	285	D2	0.434882	SEP
YMR290C_285	12	285	D5	0.134479	SEP
YMR290C_285	12	285	D14	0.026433	SEP
YMR318C_285	12	285	D2	0.543213	SEP
YMR318C_285	12	285	D5	0.124982	SEP
YMR318C_285	12	285	D14	0.074247	SEP
YMR321C_285	12	285	D2	0.407252	SEP
YMR321C_285	12	285	D5	0.066735	SEP
YMR321C_285	12	285	D14	0.039688	SEP
YNL141W_285	12	285	D2	0.539276	SEP
YNL141W_285	12	285	D5	0.100837	SEP
YNL141W_285	12	285	D14	0.015742	SEP
YNL142W_285	12	285	D2	0.575565	SEP
YNL142W_285	12	285	D5	0.033606	SEP
YNL142W_285	12	285	D14	0.054018	SEP
YNL247W_285	12	285	D2	0.350766	SEP
YNL247W_285	12	285	D5	0.114279	SEP
YNL247W_285	12	285	D14	0.020461	SEP
YNL289W_285	12	285	D2	0.317652	SEP
YNL289W_285	12	285	D5	0.111452	SEP
YNL289W_285	12	285	D14	0.006517	SEP
YNL300W_285	12	285	D2	0.389956	SEP
YNL300W_285	12	285	D5	0.007972	SEP
YNL300W_285	12	285	D14	0.004175	SEP
YNR021W_285	12	285	D2	0.446496	SEP
YNR021W_285	12	285	D5	0.057706	SEP
YNR021W_285	12	285	D14	0.005441	SEP
YNR050C_285	12	285	D2	0.459730	SEP
YNR050C_285	12	285	D5	0.020786	SEP
YNR050C_285	12	285	D14	0.014201	SEP
YNR067C_285	12	285	D2	0.272840	SEP
YNR067C_285	12	285	D5	0.022742	SEP
YNR067C_285	12	285	D14	0.025312	SEP
YOL007C_285	12	285	D2	0.457804	SEP
YOL007C_285	12	285	D5	0.162680	SEP
