GeneID	Clid	Samples	TimePoint	Value	Type
SPAC644.17c_BM45	1	BM45	D14	0.279700	ODEP
SPAC9.07c_BM45	1	BM45	D2	0.204386	ODEP
SPAC9.07c_BM45	1	BM45	D5	0.185996	ODEP
SPAC9.07c_BM45	1	BM45	D14	0.312231	ODEP
SPAC926.06c_BM45	1	BM45	D2	0.301895	ODEP
SPAC926.06c_BM45	1	BM45	D5	0.241759	ODEP
SPAC926.06c_BM45	1	BM45	D14	0.276903	ODEP
SPAP7G5.04c_BM45	1	BM45	D2	0.303762	ODEP
SPAP7G5.04c_BM45	1	BM45	D5	0.287477	ODEP
SPAP7G5.04c_BM45	1	BM45	D14	0.157893	ODEP
SPAPB21F2.02_BM45	1	BM45	D2	0.222531	ODEP
SPAPB21F2.02_BM45	1	BM45	D5	0.228429	ODEP
SPAPB21F2.02_BM45	1	BM45	D14	0.278754	ODEP
SPAPB8E5.10_BM45	1	BM45	D2	0.353575	ODEP
SPAPB8E5.10_BM45	1	BM45	D5	0.280174	ODEP
SPAPB8E5.10_BM45	1	BM45	D14	0.222597	ODEP
SPBC1105.07c_BM45	1	BM45	D2	0.424561	ODEP
SPBC1105.07c_BM45	1	BM45	D5	0.168206	ODEP
SPBC1105.07c_BM45	1	BM45	D14	0.224966	ODEP
SPBC13E7.02_BM45	1	BM45	D2	0.492528	ODEP
SPBC13E7.02_BM45	1	BM45	D5	0.153702	ODEP
SPBC13E7.02_BM45	1	BM45	D14	0.132338	ODEP
SPBC14C8.11c_BM45	1	BM45	D2	0.304107	ODEP
SPBC14C8.11c_BM45	1	BM45	D5	0.140221	ODEP
SPBC14C8.11c_BM45	1	BM45	D14	0.106757	ODEP
SPBC1604.11_BM45	1	BM45	D2	0.459619	ODEP
SPBC1604.11_BM45	1	BM45	D5	0.106309	ODEP
SPBC1604.11_BM45	1	BM45	D14	0.096638	ODEP
SPBC1604.14c_BM45	1	BM45	D2	0.346892	ODEP
SPBC1604.14c_BM45	1	BM45	D5	0.283771	ODEP
SPBC1604.14c_BM45	1	BM45	D14	0.157016	ODEP
SPBC1734.16c_BM45	1	BM45	D2	0.330039	ODEP
SPBC1734.16c_BM45	1	BM45	D5	0.156414	ODEP
SPBC1734.16c_BM45	1	BM45	D14	0.121002	ODEP
SPBC17D1.05_BM45	1	BM45	D2	0.489376	ODEP
SPBC17D1.05_BM45	1	BM45	D5	0.076262	ODEP
SPBC17D1.05_BM45	1	BM45	D14	0.098343	ODEP
SPBC19C2.11c_BM45	1	BM45	D2	0.219217	ODEP
SPBC19C2.11c_BM45	1	BM45	D5	0.162584	ODEP
SPBC19C2.11c_BM45	1	BM45	D14	0.097433	ODEP
