GeneID	Clid	Type
SPCC31H12.07	21	ODEP
SPCC622.06c	21	ODEP
SPAC17A5.06	21	ODEP
SPAC323.01c	21	ODEP
SPBC21.05c	21	ODEP
SPMIT.11	21	ODEP
SPAC1782.05	21	ODEP
YJR148W	21	ODEP
YOL075C	21	ODEP
SPAC1420.02c	21	ODEP
SPAC637.06	21	ODEP
SPAP11E10.01	21	ODEP
SPAPB17E12.10c	21	ODEP
SPBC13G1.01c	21	ODEP
SPCC4B3.12	21	ODEP
YBR110W	21	ODEP
YCR048W	21	ODEP
YDR089W	21	ODEP
YDR138W	21	ODEP
YDR233C	21	ODEP
YDR453C	21	ODEP
YEL007W	21	ODEP
YEL044W	21	ODEP
YGR122W	21	ODEP
YIL085C	21	ODEP
YKR061W	21	ODEP
YLR152C	21	ODEP
YMR173W	21	ODEP
YOR040W	21	ODEP
YOR377W	21	ODEP
YPL277C	21	ODEP
YPR013C	21	ODEP
YCL038C	21	ODEP
SPAC24C9.10c	21	ODEP
SPCC188.08c	21	ODEP
YDR184C	21	ODEP
YER125W	21	ODEP
YGR033C	21	ODEP
YHR009C	21	ODEP
YLR086W	21	ODEP
YML110C	21	ODEP
YNL197C	21	ODEP
YNL208W	21	ODEP
YOL128C	21	ODEP
YOR172W	21	ODEP
YOR185C	21	ODEP
SPCC330.13	21	ODEP
YCR024C-A	21	ODEP
YEL058W	21	ODEP
YKL096W-A	21	ODEP
SPAC1002.16c	24	ODEP
SPAC1006.07	24	ODEP
SPAC1327.01c	24	ODEP
SPAC1610.01	24	ODEP
SPAC16E8.02	24	ODEP
SPAC1834.05	24	ODEP
SPAC19B12.06c	24	ODEP
SPAC19G12.07c	24	ODEP
SPAC1A6.08c	24	ODEP
SPAC20H4.01	24	ODEP
SPAC227.03c	24	ODEP
SPAC22A12.17c	24	ODEP
SPAC22G7.07c	24	ODEP
SPAC23A1.14c	24	ODEP
SPAC23C11.11	24	ODEP
SPAC24C9.12c	24	ODEP
SPAC25B8.12c	24	ODEP
SPAC26F1.12c	24	ODEP
SPAC29A4.12c	24	ODEP
SPAC30D11.06c	24	ODEP
SPAC3C7.01c	24	ODEP
SPAC637.04	24	ODEP
SPAC7D4.03c	24	ODEP
SPAC821.09	24	ODEP
SPAC959.07	24	ODEP
SPAC9G1.13c	24	ODEP
SPAPYUG7.06	24	ODEP
SPBC1685.09	24	ODEP
SPBC16A3.15c	24	ODEP
SPBC16D10.06	24	ODEP
SPBC16E9.14c	24	ODEP
SPBC16H5.13	24	ODEP
SPBC17G9.02c	24	ODEP
SPBC17G9.13c	24	ODEP
SPBC18E5.12c	24	ODEP
SPBC215.01	24	ODEP
SPBC215.02	24	ODEP
SPBC2F12.11c	24	ODEP
SPBC2G2.11	24	ODEP
SPBC32H8.12c	24	ODEP
SPBC336.02	24	ODEP
SPBC409.18	24	ODEP
SPBC530.10c	24	ODEP
SPBC577.09	24	ODEP
SPBC577.15c	24	ODEP
SPBC725.07	24	ODEP
SPBC83.17	24	ODEP
SPBC839.12	24	ODEP
SPBP23A10.11c	24	ODEP
SPBP23A10.16	24	ODEP
SPCC1672.10	24	ODEP
SPCC188.04c	24	ODEP
SPCC338.14	24	ODEP
SPCC4B3.02c	24	ODEP
SPCC569.07	24	ODEP
SPCC663.15c	24	ODEP
YBL106C	24	ODEP
YBR238C	24	ODEP
YDR488C	24	ODEP
YER073W	24	ODEP
YER165W	24	ODEP
YHL028W	24	ODEP
YLR378C	24	ODEP
SPCC23B6.04c	24	ODEP
SPAC4F8.04	24	ODEP
SPCC594.01	24	ODEP
SPCC417.08	24	ODEP
YBL001C	24	ODEP
YDL157C	24	ODEP
YDR248C	24	ODEP
YDR309C	24	ODEP
YER031C	24	ODEP
YER072W	24	ODEP
YFR006W	24	ODEP
YHR026W	24	ODEP
YIL138C	24	ODEP
YML078W	24	ODEP
YNL090W	24	ODEP
YOL103W	24	ODEP
YOR127W	24	ODEP
YOR175C	24	ODEP
YOR238W	24	ODEP
YPR018W	24	ODEP
YPR043W	24	ODEP
SPAC19D5.03	24	ODEP
YGR203W	24	ODEP
SPCC297.06c	24	ODEP
YDL185W	24	ODEP
YER152C	24	ODEP
YJL043W	24	ODEP
YJL115W	24	ODEP
YJR014W	24	ODEP
YNL148C	24	ODEP
YOR332W	24	ODEP
YPR052C	24	ODEP
YGR010W	24	ODEP
SPAC23H4.17c	24	ODEP
SPBC887.04c	24	ODEP
YHR071W	24	ODEP
YHR039C-A	24	ODEP
YLR299W	24	ODEP
YLR383W	24	ODEP
SPAC1002.06c	27	ODEP
SPAC105.03c	27	ODEP
SPAC12G12.10	27	ODEP
SPAC17A5.03	27	ODEP
SPAC23D3.02	27	ODEP
SPAC2G11.09	27	ODEP
SPAC32A11.03c	27	ODEP
SPAC664.08c	27	ODEP
SPAC6G10.07	27	ODEP
SPAPB1A10.05	27	ODEP
SPBC11G11.03	27	ODEP
SPBC16H5.09c	27	ODEP
SPBC18A7.01	27	ODEP
SPBC30B4.05	27	ODEP
SPBC31F10.13c	27	ODEP
SPBC36B7.02	27	ODEP
SPBC3D6.02	27	ODEP
SPBC3H7.11	27	ODEP
SPBP22H7.04	27	ODEP
SPCC1259.10	27	ODEP
SPCC1884.01	27	ODEP
SPCC320.13c	27	ODEP
SPCC417.10	27	ODEP
SPCC550.11	27	ODEP
SPCC569.04	27	ODEP
YBL010C	27	ODEP
YBL041W	27	ODEP
YBL063W	27	ODEP
YBR039W	27	ODEP
YBR057C	27	ODEP
YBR071W	27	ODEP
YBR103W	27	ODEP
YBR125C	27	ODEP
YBR185C	27	ODEP
YBR258C	27	ODEP
YBR260C	27	ODEP
YBR262C	27	ODEP
YCL008C	27	ODEP
YCL010C	27	ODEP
YCR046C	27	ODEP
YCR071C	27	ODEP
YCR093W	27	ODEP
YDL045W-A	27	ODEP
YDL073W	27	ODEP
YDL165W	27	ODEP
YDL202W	27	ODEP
YDR041W	27	ODEP
YDR111C	27	ODEP
YDR116C	27	ODEP
YDR224C	27	ODEP
YDR225W	27	ODEP
YDR259C	27	ODEP
YDR296W	27	ODEP
YDR303C	27	ODEP
YDR322C-A	27	ODEP
YDR361C	27	ODEP
YDR373W	27	ODEP
YER026C	27	ODEP
YER058W	27	ODEP
YER153C	27	ODEP
YER183C	27	ODEP
YFL044C	27	ODEP
YFR046C	27	ODEP
YFR052W	27	ODEP
YGL009C	27	ODEP
YGL094C	27	ODEP
YGL108C	27	ODEP
YGL153W	27	ODEP
YGL247W	27	ODEP
YGR047C	27	ODEP
YGR193C	27	ODEP
YGR232W	27	ODEP
YHR014W	27	ODEP
YHR043C	27	ODEP
YHR098C	27	ODEP
YHR106W	27	ODEP
YIL044C	27	ODEP
YIL062C	27	ODEP
YIL089W	27	ODEP
YIL139C	27	ODEP
YIR010W	27	ODEP
YJL068C	27	ODEP
YJL076W	27	ODEP
YJL104W	27	ODEP
YJL184W	27	ODEP
YJR004C	27	ODEP
YJR034W	27	ODEP
YJR080C	27	ODEP
YJR101W	27	ODEP
YJR103W	27	ODEP
YJR135C	27	ODEP
YKL090W	27	ODEP
YKL166C	27	ODEP
YKR085C	27	ODEP
YKR095W	27	ODEP
YLR003C	27	ODEP
YLR017W	27	ODEP
YLR025W	27	ODEP
YLR125W	27	ODEP
YLR166C	27	ODEP
YLR181C	27	ODEP
YLR220W	27	ODEP
YLR290C	27	ODEP
YLR298C	27	ODEP
YLR330W	27	ODEP
YLR336C	27	ODEP
YLR431C	27	ODEP
YML098W	27	ODEP
YMR003W	27	ODEP
YMR005W	27	ODEP
YMR022W	27	ODEP
YMR029C	27	ODEP
YMR061W	27	ODEP
YMR127C	27	ODEP
YMR222C	27	ODEP
YMR223W	27	ODEP
YNL001W	27	ODEP
YNL005C	27	ODEP
YNL050C	27	ODEP
YNL084C	27	ODEP
YNL131W	27	ODEP
YNL137C	27	ODEP
YNL185C	27	ODEP
YNL284C	27	ODEP
YNL315C	27	ODEP
YNR020C	27	ODEP
YNR037C	27	ODEP
YOL031C	27	ODEP
YOL102C	27	ODEP
YOL108C	27	ODEP
YOR022C	27	ODEP
YOR075W	27	ODEP
YOR157C	27	ODEP
YOR174W	27	ODEP
YOR252W	27	ODEP
YOR288C	27	ODEP
YOR354C	27	ODEP
YOR357C	27	ODEP
YPL022W	27	ODEP
YPL149W	27	ODEP
YPL195W	27	ODEP
YPR004C	27	ODEP
YPR072W	27	ODEP
YPR097W	27	ODEP
YAL002W	27	ODEP
YDR058C	27	ODEP
YDR397C	27	ODEP
YHL023C	27	ODEP
YHL032C	27	ODEP
YKL007W	27	ODEP
YKL042W	27	ODEP
YKR006C	27	ODEP
YLR113W	27	ODEP
YMR028W	27	ODEP
YMR157C	27	ODEP
YOR060C	27	ODEP
YOR132W	27	ODEP
YPL115C	27	ODEP
YPL122C	27	ODEP
YDR486C	27	ODEP
YLR014C	27	ODEP
YOR061W	27	ODEP
YPL031C	27	ODEP
YER155C	27	ODEP
YJL134W	27	ODEP
YLR244C	27	ODEP
SPAC13G6.03	29	ODEP
SPAC13G7.12c	29	ODEP
SPAC17A2.01	29	ODEP
SPAC17G8.11c	29	ODEP
SPAC17G8.14c	29	ODEP
SPAC1F3.03	29	ODEP
SPAC1F3.09	29	ODEP
SPAC20H4.08	29	ODEP
SPAC21E11.08	29	ODEP
SPAC227.06	29	ODEP
SPAC22A12.07c	29	ODEP
SPAC23A1.19c	29	ODEP
SPAC23G3.05c	29	ODEP
SPAC23H4.06	29	ODEP
SPAC23H4.16c	29	ODEP
SPAC26F1.14c	29	ODEP
SPAC29A4.18	29	ODEP
SPAC2C4.11c	29	ODEP
SPAC2F3.16	29	ODEP
SPAC31G5.04	29	ODEP
SPAC31G5.19	29	ODEP
SPAC343.09	29	ODEP
SPAC343.16	29	ODEP
SPAC4F10.16c	29	ODEP
SPAC4F10.20	29	ODEP
SPAC732.01	29	ODEP
SPAC890.04c	29	ODEP
SPAC8C9.16c	29	ODEP
SPAC926.08c	29	ODEP
SPAP27G11.03	29	ODEP
SPBC1198.13c	29	ODEP
SPBC11G11.05	29	ODEP
SPBC14F5.05c	29	ODEP
SPBC1604.07	29	ODEP
SPBC1685.12c	29	ODEP
SPBC1685.15c	29	ODEP
SPBC16G5.14c	29	ODEP
SPBC17A3.02	29	ODEP
SPBC17D11.02c	29	ODEP
SPBC19C2.15c	29	ODEP
SPBC19C7.06	29	ODEP
SPBC19G7.07c	29	ODEP
SPBC216.04c	29	ODEP
SPBC27B12.08	29	ODEP
SPBC2F12.14c	29	ODEP
SPBC31E1.02c	29	ODEP
SPBC36.04	29	ODEP
SPBC3H7.12	29	ODEP
SPBC649.04	29	ODEP
SPBC725.01	29	ODEP
SPBC725.04	29	ODEP
SPBC800.02	29	ODEP
SPBC8D2.15	29	ODEP
SPBP35G2.13c	29	ODEP
SPBP8B7.14c	29	ODEP
SPBP8B7.16c	29	ODEP
SPBPB21E7.07	29	ODEP
SPCC1223.14	29	ODEP
SPCC1235.01	29	ODEP
SPCC18.01c	29	ODEP
SPCC1906.04	29	ODEP
SPCC24B10.18	29	ODEP
SPCC417.11c	29	ODEP
SPCC4B3.08	29	ODEP
SPCC576.15c	29	ODEP
SPCC736.08	29	ODEP
SPCP31B10.04	29	ODEP
SPBC19C2.13c	29	ODEP
SPAC27F1.05c	29	ODEP
SPBC30B4.03c	29	ODEP
SPBC32H8.07	29	ODEP
SPCC1620.10	29	ODEP
SPAC56F8.12	29	ODEP
SPBC1778.08c	29	ODEP
SPBC337.13c	29	ODEP
SPCC1442.07c	29	ODEP
YDR035W	29	ODEP
SPAC694.05c	29	ODEP
SPAC10F6.14c	32	ODEP
SPAC1399.03	32	ODEP
SPAC13G6.11c	32	ODEP
SPAC14C4.05c	32	ODEP
SPAC14C4.14	32	ODEP
SPAC20G4.08	32	ODEP
SPAC20G8.05c	32	ODEP
SPAC22H12.01c	32	ODEP
SPAC27E2.02	32	ODEP
SPAC2E12.05	32	ODEP
SPAC3A11.03	32	ODEP
SPAC3A12.02	32	ODEP
SPAC4A8.08c	32	ODEP
SPAC4A8.16c	32	ODEP
SPAC6B12.11	32	ODEP
SPAC821.11	32	ODEP
SPAC977.07c	32	ODEP
SPAC977.15	32	ODEP
SPAC9G1.04	32	ODEP
SPBC146.04	32	ODEP
SPBC16A3.05c	32	ODEP
SPBC1709.09	32	ODEP
SPBC26H8.01	32	ODEP
SPBC26H8.09c	32	ODEP
SPBC28F2.10c	32	ODEP
SPBC29A3.05	32	ODEP
SPBC32H8.04c	32	ODEP
SPBC336.09c	32	ODEP
SPBC337.02c	32	ODEP
SPBC36B7.07	32	ODEP
SPBC405.01	32	ODEP
SPBC660.11	32	ODEP
SPBC691.03c	32	ODEP
SPBP19A11.04c	32	ODEP
SPBP4G3.03	32	ODEP
SPCC1183.01	32	ODEP
SPCC11E10.04	32	ODEP
SPCC1450.05c	32	ODEP
SPCC1450.16c	32	ODEP
SPCC162.07	32	ODEP
SPCC188.03	32	ODEP
SPCP1E11.07c	32	ODEP
SPAC1B3.15c	32	ODEP
SPCC970.04c	32	ODEP
SPCC330.02	32	ODEP
SPBC3B9.21	32	ODEP
YDR113C	32	ODEP
YJR121W	32	ODEP
YOR197W	32	ODEP
SPBC16G5.12c	32	ODEP
SPAC1783.01	32	ODEP
